-12.961	非数字
-12.961	非数字
2.055	非数字
2.055	非数字
1.366	53.249
1.366	53.249
1.736	15.979
1.736	15.979
1.335	非数字
1.335	非数字
3.347	42.550
3.347	42.550
2.585	17.412
2.585	17.412
3.955	1000000.000
3.955	1000000.000
非数字	1.556
非数字	1.556
2.667	非数字
2.667	非数字
5.561	11.869
5.561	11.869
4.390	24.905
4.390	24.905
2.071	非数字
2.071	非数字
2.561	-35.401
2.561	-35.401
-0.773	非数字
-0.773	非数字
2.525	23.769
2.525	23.769
非数字	3.293
非数字	3.293
8.325	1000000.000
8.325	1000000.000
-14.096	非数字
-14.096	非数字
46.021	-31.251
46.021	-31.251
-3.823	61.124
-3.823	61.124
非数字	3.784
非数字	3.784
6.633	1000000.000
6.633	1000000.000
非数字	3.206
非数字	3.206
0.820	31.404
0.820	31.404
3.528	1000000.000
3.528	1000000.000
4.146	1000000.000
4.146	1000000.000
3.672	71.187
3.672	71.187
2.046	34.864
2.046	34.864
2.247	非数字
2.247	非数字
-0.651	非数字
-0.651	非数字
9.542	1000000.000
9.542	1000000.000
非数字	4.274
非数字	4.274
5.913	非数字
5.913	非数字
7.372	28.436
7.372	28.436
2.690	非数字
2.690	非数字
1.321	64.667
1.321	64.667
4.406	非数字
4.406	非数字
6.894	-8.389
6.894	-8.389
9.198	25.953
9.198	25.953
-2.094	非数字
-2.094	非数字
11.631	1000000.000
11.631	1000000.000
2.757	31.210
2.757	31.210
12.295	2.352
12.295	2.352
1.096	-21.382
1.096	-21.382
7.990	非数字
7.990	非数字
7.290	-33.358
7.290	-33.358
-7.978	-14.394
-7.978	-14.394
2.235	非数字
2.235	非数字
2.412	1000000.000
2.412	1000000.000
3.790	15.608
3.790	15.608
2.107	非数字
2.107	非数字
-13.067	非数字
-13.067	非数字
3.494	30.758
3.494	30.758
-12.968	-41.246
-12.968	-41.246
13.561	82.767
13.561	82.767
1.742	非数字
1.742	非数字
1.031	-26.437
1.031	-26.437
3.428	60.693
3.428	60.693
49.790	14.532
49.790	14.532
1.951	-55.842
1.951	-55.842
2.075	-19.473
2.075	-19.473
非数字	1000000.000
非数字	1000000.000
5.272	63.490
5.272	63.490
1.009	-122.681
1.009	-122.681
1.874	-36.693
1.874	-36.693
2.828	18.928
2.828	18.928
-2.375	非数字
-2.375	非数字
3.203	84.208
3.203	84.208
1.596	34.988
1.596	34.988
7.482	24.946
7.482	24.946
5.260	4.487
5.260	4.487
2.180	1000000.000
2.180	1000000.000
5.299	25.458
5.299	25.458
2.957	-24.489
2.957	-24.489
12.205	-0.575
12.205	-0.575
-0.195	1000000.000
-0.195	1000000.000
-7.920	24.464
-7.920	24.464
9.038	1000000.000
9.038	1000000.000
-15.282	非数字
-15.282	非数字
2.885	-12.349
2.885	-12.349
1.373	-33.852
1.373	-33.852
1.816	16.731
1.816	16.731
-0.266	-27.634
-0.266	-27.634
2.577	非数字
2.577	非数字
-10.145	1000000.000
-10.145	1000000.000
50.916	1000000.000
50.916	1000000.000
7.310	1000000.000
7.310	1000000.000
-14.775	12.711
-14.775	12.711
-0.979	-86.027
-0.979	-86.027
2.851	1000000.000
2.851	1000000.000
非数字	2.383
非数字	2.383
1.156	-19.561
1.156	-19.561
-1.109	-23.867
-1.109	-23.867
2.348	24.768
2.348	24.768
41.903	1000000.000
41.903	1000000.000
-3.192	28.193
-3.192	28.193
-1.838	45.077
-1.838	45.077
2.301	-116.825
2.301	-116.825
3.430	26.010
3.430	26.010
0.941	34.808
0.941	34.808
0.197	1000000.000
0.197	1000000.000
3.359	非数字
3.359	非数字
-0.361	-16.637
-0.361	-16.637
1.658	52.287
1.658	52.287
-0.626	非数字
-0.626	非数字
0.456	11.486
0.456	11.486
1.324	27.408
1.324	27.408
1.788	11.147
1.788	11.147
20.889	非数字
20.889	非数字
1.686	非数字
1.686	非数字
0.327	17.372
0.327	17.372
9.630	1000000.000
9.630	1000000.000
2.122	21.415
2.122	21.415
3.104	1000000.000
3.104	1000000.000
14.765	1000000.000
14.765	1000000.000
非数字	1000000.000
非数字	1000000.000
15.089	13.870
15.089	13.870
11.861	35.923
11.861	35.923
非数字	-0.703
非数字	-0.703
2.545	1000000.000
2.545	1000000.000
0.393	19.705
0.393	19.705
3.155	非数字
3.155	非数字
3.691	98.749
3.691	98.749
2.110	非数字
2.110	非数字
3.022	非数字
3.022	非数字
非数字	11.287
非数字	11.287
9.829	5.643
9.829	5.643
10.082	1000000.000
10.082	1000000.000
-0.103	-28.927
-0.103	-28.927
-1.891	-20.819
-1.891	-20.819
2.818	1000000.000
2.818	1000000.000
-1.520	-67.246
-1.520	-67.246
-0.157	-16.397
-0.157	-16.397
7.280	53.159
7.280	53.159
1.306	-37.842
1.306	-37.842
2.936	31.609
2.936	31.609
-6.014	1000000.000
-6.014	1000000.000
5.410	1000000.000
5.410	1000000.000
55.754	-41.356
55.754	-41.356
3.092	1000000.000
3.092	1000000.000
非数字	11.346
非数字	11.346
8.227	1000000.000
8.227	1000000.000
非数字	2.385
非数字	2.385
2.978	1000000.000
2.978	1000000.000
-15.626	非数字
-15.626	非数字
-8.544	21.199
-8.544	21.199
-10.826	-14.172
-10.826	-14.172
-1.961	-10.453
-1.961	-10.453
-17.047	非数字
-17.047	非数字
3.750	23.763
3.750	23.763
-1.370	非数字
-1.370	非数字
5.458	10.358
5.458	10.358
11.529	-58.466
11.529	-58.466
0.586	-17.702
0.586	-17.702
-12.457	非数字
-12.457	非数字
12.580	22.281
12.580	22.281
23.862	19.809
23.862	19.809
3.670	非数字
3.670	非数字
非数字	1000000.000
非数字	1000000.000
-2.244	非数字
-2.244	非数字
0.073	-22.273
0.073	-22.273
-2.773	-22.005
-2.773	-22.005
非数字	1.545
非数字	1.545
1.329	非数字
1.329	非数字
2.693	1000000.000
2.693	1000000.000
0.451	非数字
0.451	非数字
8.172	1000000.000
8.172	1000000.000
-14.409	非数字
-14.409	非数字
-5.419	非数字
-5.419	非数字
5.280	77.378
5.280	77.378
-5.011	非数字
-5.011	非数字
7.349	25.238
7.349	25.238
-3.184	-25.702
-3.184	-25.702
0.770	非数字
0.770	非数字
3.858	24.574
3.858	24.574
-13.311	非数字
-13.311	非数字
0.257	-19.386
0.257	-19.386
-0.755	非数字
-0.755	非数字
12.874	35.188
12.874	35.188
2.925	26.088
2.925	26.088
8.528	1000000.000
8.528	1000000.000
-4.702	非数字
-4.702	非数字
-12.922	1000000.000
-12.922	1000000.000
-1.000	-63.384
-1.000	-63.384
-3.762	21.354
-3.762	21.354
34.345	-24.093
34.345	-24.093
7.766	13.321
7.766	13.321
0.048	非数字
0.048	非数字
2.545	-21.049
2.545	-21.049
2.780	64.881
2.780	64.881
2.339	85.273
2.339	85.273
-7.159	非数字
-7.159	非数字
4.250	12.334
4.250	12.334
非数字	2.418
非数字	2.418
1.827	19.630
1.827	19.630
1.128	-23.922
1.128	-23.922
非数字	3.268
非数字	3.268
非数字	1.058
非数字	1.058
-1.061	1000000.000
-1.061	1000000.000
-12.143	-12.143
-12.143	-12.143
非数字	0.990
非数字	0.990
0.009	非数字
0.009	非数字
1.545	92.668
1.545	92.668
6.934	-52.452
6.934	-52.452
0.513	64.740
0.513	64.740
非数字	2.572
非数字	2.572
2.112	非数字
2.112	非数字
5.063	1000000.000
5.063	1000000.000
1.780	非数字
1.780	非数字
1.536	-128.496
1.536	-128.496
-1.520	-55.987
-1.520	-55.987
-4.114	1000000.000
-4.114	1000000.000
-1.060	非数字
-1.060	非数字
16.891	非数字
16.891	非数字
1.834	23.112
1.834	23.112
2.522	44.288
2.522	44.288
3.688	32.286
3.688	32.286
-3.017	1000000.000
-3.017	1000000.000
3.323	非数字
3.323	非数字
3.518	90.373
3.518	90.373
11.089	1000000.000
11.089	1000000.000
43.256	89.474
43.256	89.474
-19.802	非数字
-19.802	非数字
1.111	非数字
1.111	非数字
4.870	1000000.000
4.870	1000000.000
2.017	-62.515
2.017	-62.515
1.118	16.136
1.118	16.136
20.469	0.583
20.469	0.583
-15.774	-20.919
-15.774	-20.919
非数字	0.790
非数字	0.790
11.032	21.836
11.032	21.836
-2.360	-1.103
-2.360	-1.103
